"Value","Reference","Exclude from BOM","Exclude from Board","Footprint"
"YELLOW","D1,D2,D104,D105","","","MyGlove:LED"
"RED","D3,D106,D107","","","MyGlove:LED"
"GND","GND0132,GND0133,GND0134,GND0135,GND0136,GND0137,GND0138,GND0139","","Excluded from board",""
"","J1,J2","","","MyGlove:PinHeader_1x06_Pas2.54mm"
"","J_3","","","MyGlove:PinHeader_1x04_Pas2.54mm"
"","SW_1","","","MyGlove:SW_SPST_TL3305A"
"","TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18","","","MyGlove:TestPoint_Pad_D1.0mm"
"16MHz","Y1,Y2","","","MyGlove:Crystal_16MHz"
"74HC4052","U9,U10","","","MyGlove:74HC4052"
"TPS2113APWR","U12","","","MyGlove:TPS2113"
"100nF","C1,C2,C5,C6,C7,C8,C9,C10,C27,C28,C29,C30,C35,C39,C41,C43,C45,C46,C48,C49","","","MyGlove:Capacitor_0603"
"12pF","C3,C4,C11,C12","","","MyGlove:Capacitor_0603"
"47pF","C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23","","","MyGlove:Capacitor_0603"
"10nF","C24,C33","","","MyGlove:Capacitor_0603"
"2.2nF","C25","","","MyGlove:Capacitor_0603"
"0.1nF","C26","","","MyGlove:Capacitor_0603"
"10n","C34","","","MyGlove:Capacitor_0603"
"1uF","C36,C37,C38","","","MyGlove:Capacitor_0603"
"10uF","C42","","","MyGlove:Capacitor_0603"
"","B0505S-1W1","","","MyGlove:B0505S"
"MAX485E","U15","","","MyGlove:MAX485ED"
"Hall Sensor A3144","U8","","","MyGlove:PinHeader_1x03_P2.54mm_Vertical"
"CST816D","U3","","","MyGlove:PinHeader_1x04_Pas2.54mm"
"TXS0104E","U7","","","MyGlove:TXS0104EPWR"
"TXS0108EPWR","U5","","","MyGlove:MTXS0108EPWR"
"ATMega328P","U2","","","MyGlove:ATMega328P-AU"
"ATMEGA2561-16AU","U1","","","MyGlove:ATMega2561"
"ICM-42688-P_I2C","U6","","","MyGlove:ICM-42688-P"
"CD4097B","CD1","","","MyGlove:CD4097B"
"4.7uF","C31,C32,C40,C44,C47","","","MyGlove:Capacitor_Electrolytic"
"10kΩ","R1,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R32,R35,R37","","","MyGlove:Resistor_0603"
"2.2kΩ","R2,R3,R6,R7","","","MyGlove:Resistor_0603"
"1k","R4,R5,R19,R20,R21,R22,R23,R24,R25","","","MyGlove:Resistor_0603"
"1M","R26,R27","","","MyGlove:Resistor_0603"
"5.1k","R28,R29,R30,R31","","","MyGlove:Resistor_0603"
"900K","R33","","","MyGlove:Resistor_0805"
"560R","R34","","","MyGlove:Resistor_0603"
"47k","R36","","","MyGlove:Resistor_0603"
"330R","R38","","","MyGlove:Resistor_0603"
"4.7k","R39","","","MyGlove:Resistor_0603"
"AMS1117","U13","","","MyGlove:AMS1117"
"6N137","U14","","","MyGlove:6N137"
"GC9A01_TFT","U4","","","MyGlove:PinHeader_1x08_Pas2.54mm"
"Conn_USB_Receptacle","J_1,J_2","","","MyGlove:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal"
"TUSB321","U11","","","MyGlove:TUSB321"
"CH340K","U_1","","","MyGlove:CH340K"
"XLR5_Ground","J3","","","MyGlove:XLR5_Connector_Female_CONN-TH_NC5FAH"
