"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"FPC_0603";1;"10nf";;;
2;"C2";"FPC_0603";1;"2.2nF";;;
3;"C3";"FPC_0603";1;"0.1nF";;;
4;"C4";"FPC_0603";1;"100 nF";;;
5;"FS1, FS2, FS3, FS4, FS5";"FPC_FS";5;"~";;;
6;"FSR1, FSR2, FSR3, FSR4, FSR5";"FPC_FSR";5;"~";;;
7;"J1";"FPC_Conn_24_GoldFinger";1;"FPC_Conn";;;
8;"J2";"FPC_JST_Conn_GH_4x1.25mm";1;"JST_LED_SPI_In_Little";;;
9;"J3";"FPC_JST_Conn_GH_4x1.25mm";1;"JST_LED_SPI_In_Ring";;;
10;"J4";"FPC_JST_Conn_GH_4x1.25mm";1;"JST_LED_SPI_In_Thumb";;;
11;"J5";"FPC_JST_Conn_GH_4x1.25mm";1;"JST_LED_SPI_In_Index";;;
12;"J6";"FPC_JST_Conn_GH_4x1.25mm";1;"JST_LED_SPI_In_Major";;;
13;"J7";"FPC_JST_Conn_GH_2x1.25mm";1;"JST_SPI_LED_Out_Thumb";;;
14;"J8";"FPC_JST_Conn_GH_2x1.25mm";1;"JST_SPI_LED_Out_Index";;;
15;"J9";"FPC_JST_Conn_GH_2x1.25mm";1;"JST_SPI_LED_Out_Major";;;
16;"J10";"FPC_JST_Conn_GH_2x1.25mm";1;"JST_SPI_LED_Out_Ring";;;
17;"J11";"FPC_JST_Conn_GH_2x1.25mm";1;"JST_SPI_LED_Out_Little";;;
18;"U1";"FPC_ICM-42688-P";1;"ICM-42688-P_I2C";;;
19;"U2";"FPC_SOT_23";1;"Hall Sensor DRV5023";;;
