"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C10";"Capacitor_0603";1;"10n";;;
2;"C11, C19, C22";"Capacitor_Electrolytic";3;"4.7uF";;;
3;"C15";"Capacitor_0603";1;"10nF";;;
4;"C16, C17, C18, C20, C21, C23, C24, C27, C28, C29, C30, C31";"Capacitor_0603";12;"100nF";;;
5;"C25, C26";"Capacitor_0603";2;"12pF";;;
6;"D7";"LED";1;"RED";;;
7;"D8";"LED";1;"GREEN";;;
8;"D9, D10";"LED";2;"YELLOW";;;
9;"FB01";"FERRITE BEAD";1;"~";;;
10;"J1";"conn_zif_20x0.5mm";1;"JST_Connector_To_Wrist_Board";;;
11;"J2";"USB_Conn";1;"USB Connector to Computer";;;
12;"J3";"PinHeader_1x04_P2.54mm_Vertical_CST816D";1;"JST_Connector_To_Other_Glove";;;
13;"J4";"XLR5_Connector_Female_CONN-TH_NC5FAH";1;"XLR5_Ground";;;
14;"J5";"USB_Conn";1;"USB Connector to Powerbank";;;
15;"J6";"PinHeader_1x06_P2.54mm_Vertical";1;"~";;;
16;"PF01";"POLYMER FUSE";1;"~";;;
17;"R14, R18, R20, R23, R24, R25, R26";"Resistor_0603";7;"1k";;;
18;"R15, R19";"Resistor_0603";2;"1M";;;
19;"R16, R17";"Resistor_0603";2;"5.1k";;;
20;"R21, R22";"Resistor_0603";2;"5.1K";;;
21;"R27";"Resistor_0603";1;"330R";;;
22;"R28";"Resistor_0603";1;"4.7k";;;
23;"R29";"Resistor_0603";1;"10k";;;
24;"R30";"Resistor_0603";1;"10kΩ";;;
25;"REF**, REF**, REF**, REF**, REF**, REF**, REF**, REF**, REF**, REF**, REF**, REF**, REF**, REF**";"NPTH_Drill_Hole";14;"NPTH_Drill_Hole";;;
26;"SW2";"SW_SPST_TL3305A";1;"~";;;
27;"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13";"TestPoint_Pad_D1.0mm";13;"~";;;
28;"U1";"CH340K";1;"CH340K";;;
29;"U4";"74HC4052";1;"74HC4052";;;
30;"U5";"B0505S";1;"B0505S-1W1";;;
31;"U6";"6N137";1;"6N137";;;
32;"U7";"MAX485ED";1;"MAX485E";;;
33;"U8";"ATMega2561";1;"ATMEGA2561-16AU";;;
34;"Y2";"Crystal_16MHz";1;"16MHz";;;
